class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_3969,3574131.333,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,2039.666667,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,16901,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,1350,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,6957,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,493224,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,6031.333333,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,1364937,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_2266,145458.0318,0.043359,2,1.492128679
Marine Hull,Main,Excess,MH_main_2266,92309.78113,0.043359,2,1.492128679
Marine Hull,Main,Excess,MH_main_2238,3121.23,0.05,1,1.49486653
Marine Hull,Main,Excess,MH_main_2239,988496,0.05,2,1.49486653
Marine Hull,Main,Excess,MH_main_2239,6446.868,0.05,2,1.49486653
Marine Hull,Main,Excess,MH_main_2239,309754.2,0.05,2,1.49486653
Marine Hull,Main,Excess,MH_main_2240,35963.4,0.05,1,1.49486653
Marine Hull,Main,Excess,MH_main_2887,31924.10855,0.050704,1,1.497604381
Marine Hull,Main,Excess,MH_main_2313,3141.45,0.1,1,0.772073922
Marine Hull,Main,Excess,MH_main_2220,55573.926,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_2220,77628.8,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_2220,6006.408,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_2220,6006.408,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_2258,12243.12346,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,1423.548842,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,3285.07794,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,2953.509148,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,8834.792399,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,2581224.524,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,1104056.857,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,11046.6698,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,61942.41444,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2258,160289.5709,0.046236559,6,1.158110883
Marine Hull,Main,Excess,MH_main_2224,22782.80964,0.062791,1,0.996577687
Marine Hull,Main,Excess,MH_main_2224,110702.6755,0.062791,1,0.996577687
Marine Hull,Main,Excess,MH_main_2224,6243542.387,0.062791,1,0.996577687
Marine Hull,Main,Excess,MH_main_2252,1543.5808,0.125,1,0.996577687
Marine Hull,Main,Excess,MH_main_2805,53712.6112,0.125,1,0.996577687
Marine Hull,Main,Excess,MH_main_2314,262823.0827,0.0499985,1,1.242984257
Marine Hull,Main,Excess,MH_main_2991,87649.11184,0.06125,1,0.999315537
Marine Hull,Main,Excess,MH_main_3564,4142.207831,0.0664,1,1.245722108
Marine Hull,Main,Excess,MH_main_2315,5060.427377,0.016145,1,0.996577687
Marine Hull,Main,Excess,MH_main_2319,6161.408772,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,3148.01304,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,1242.639147,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,86727.80544,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,2071.062579,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,5591.868163,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,161649.315,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2319,179305.5379,0.0250005,8,1.242984257
Marine Hull,Main,Excess,MH_main_2992,20244.94321,0.0400007,4,0.999315537
